feature,source,category,nan_pct,pearson,spearman,abs_spearman,shape,notes
buy_count_4h,base,volume/liquidity,49.70016493312105,0.0243427770918518,0.0197180496103412,0.0197180496103412,u_shape,
bk_ret_48b,base,basket-relative,0.0,0.0193887698277042,0.0192620913321258,0.0192620913321258,monotonic_up,
idio_kurt_1d,base,volatility/distrib,0.0,0.022280922959443,0.0190873335251161,0.0190873335251161,u_shape,
beta_btc_pit,btc_only,btc-relationship,0.0,0.0128278839128743,-0.0187352088227099,0.0187352088227099,u_shape,
ema_slope_20_1h_xs_rank,base,momentum,0.0,0.0059509717501572,-0.0185435787785552,0.0185435787785552,noisy,
obv_z_1d_xs_rank,base,volume/liquidity,0.0,-0.0048601811998237,-0.0173716573043024,0.0173716573043024,inverted_u,
avg_trade_size_4h,base,volume/liquidity,49.70016493312105,0.0102953265874984,-0.0167122570568123,0.0167122570568123,noisy,
vol_surge_1d_over_30d,vol_surge,volatility/distrib,0.0,0.0464712480659341,0.0165714270747906,0.0165714270747906,monotonic_up,
resid_kurt_30d,v3_5m,volatility/distrib,0.0,-0.0311818973923603,0.0155580468854923,0.0155580468854923,inverted_u,
price_volume_corr_10,base,volatility/distrib,0.0,0.0031319748965456,-0.0155552326432167,0.0155552326432167,u_shape,
amihud_illiq_30d,v3_5m,volume/liquidity,0.0,0.0066646610676424,-0.0154974716745368,0.0154974716745368,u_shape,
vol_surge_4h_over_7d,vol_surge,volatility/distrib,0.0,0.0192034178116072,0.0154025128555081,0.0154025128555081,u_shape,
corr_to_btc_change_3d,btc_only,btc-relationship,0.0,0.0042169276556619,0.0150395116291164,0.0150395116291164,u_shape,
hour_sin,base,categorical/calendar,0.0,-0.0089121209778647,-0.0144151960145708,0.0144151960145708,noisy,CALENDAR_ARTIFACT: not validated as alpha; suspicious until OOT block check
funding_streak_neg,base,funding,0.0,-0.0199434304266632,-0.0143884691799659,0.0143884691799659,insufficient,
funding_streak_pos,base,funding,0.0,0.0243863615951063,0.0139246471996633,0.0139246471996633,insufficient,
volume_stability_30d,v3_5m,volume/liquidity,0.0,-0.0067696209643246,-0.0135821646462726,0.0135821646462726,u_shape,
corr_breakdown,v3_5m,other,8.931493963574887,-0.011615310577567,-0.0133857877966129,0.0133857877966129,insufficient,
mfi,base,other,0.0,0.0063446291259231,-0.0115371981888666,0.0115371981888666,monotonic_up,
idio_vol_1d_vs_bk,base,volatility/distrib,0.0,0.0106756986653138,-0.0114519770095989,0.0114519770095989,monotonic_up,
idio_ret_to_btc_12b,base,btc-relationship,0.0,0.0068540840074355,-0.0108258388218656,0.0108258388218656,u_shape,
idio_ret_to_btc_288b,btc_only,btc-relationship,0.0,0.0234298222158999,-0.0103494209504798,0.0103494209504798,u_shape,
residual_vol_90d_own_pctile,btc_only,volatility/distrib,0.0,0.0369641020897364,0.0102737155193352,0.0102737155193352,u_shape,
sym_id,base,categorical/calendar,0.0,0.0136877699711515,-0.0095925113658949,0.0095925113658949,u_shape,
idio_ret_48b_vs_bk,base,basket-relative,0.0,0.0034657382117797,-0.009096544412618,0.009096544412618,u_shape,
obv_signal,base,volume/liquidity,0.0,-0.0032524413557784,-0.0090099755584835,0.0090099755584835,noisy,
dom_btc_change_48b,btc_only,btc-relationship,0.0,0.0208906317016826,0.0086399240040561,0.0086399240040561,monotonic_up,
corr_btc_30d,v3_5m,btc-relationship,0.0,-0.0055261978164546,0.0077188735684439,0.0077188735684439,monotonic_down,
xs_alpha_mean_12b,base,cross-sectional,0.0,0.0117228033474065,0.0077166588457363,0.0077166588457363,noisy,
idio_max_abs_12b,base,volatility/distrib,0.0,0.0185464673789114,-0.0075860337589131,0.0075860337589131,monotonic_up,
btc_realized_vol_1h,base,volatility/distrib,0.0,-0.0068570824701662,-0.0073432833610237,0.0073432833610237,u_shape,
beta_to_btc,base,btc-relationship,0.0,0.0240997408978676,-0.0068719670558864,0.0068719670558864,u_shape,
price_volume_corr_20,base,volatility/distrib,0.0,0.013785659750071,-0.0064007104904269,0.0064007104904269,monotonic_up,
idio_skew_1d,base,volatility/distrib,0.0,-0.0016060292748138,-0.005979625413071,0.005979625413071,u_shape,
idio_vol_to_btc_1d,base,volatility/distrib,0.0,0.0214383007880778,-0.0056408853838632,0.0056408853838632,monotonic_up,
listing_age_days,btc_only,other,0.0,0.0084041599621259,-0.0049757640832818,0.0049757640832818,inverted_u,
dom_btc_z_1d,btc_only,btc-relationship,0.0,0.0319305610670631,0.0045169139395967,0.0045169139395967,monotonic_up,
log_dollar_volume_7d,v3_5m,volatility/distrib,0.0,-0.0020940585536252,-0.0030755298828187,0.0030755298828187,inverted_u,
vwap_zscore_xs_rank,base,cross-sectional,0.0,0.0129640734406551,0.0026564349871386,0.0026564349871386,monotonic_up,
tfi_4h,base,microstructure,49.70016493312105,0.0099652891119047,-0.0020624731982366,0.0020624731982366,inverted_u,
signed_volume_4h,base,volatility/distrib,49.70016493312105,-0.0118664414724553,-0.0017069459197494,0.0017069459197494,noisy,
resid_skew_30d,v3_5m,volatility/distrib,0.0,0.0266708195844387,0.001488815726045,0.001488815726045,monotonic_up,
funding_mean_30d,v3_5m,funding,0.0,0.0087512530023882,-0.0012217660960113,0.0012217660960113,noisy,
vol_surge_1h_over_24h,vol_surge,volatility/distrib,0.0,0.0013866429035847,-0.0011419349367421,0.0011419349367421,u_shape,
dom_btc_change_288b,btc_only,btc-relationship,0.0,0.0336681158401233,-0.000957659699683,0.000957659699683,noisy,
bars_since_high,base,anchoring,0.0,-0.0078174567639189,-0.0004258304382592,0.0004258304382592,noisy,
vol_surge_4h_over_30d,vol_surge,volatility/distrib,0.0,0.0046272079500982,0.00021714791165,0.00021714791165,u_shape,
